preferred_term	identifier	ontology_label	occurrences	cas_rn_current	stated_hydration	known_hydrates	hydration_valid	cas_verdict	cas_correct_or_UNKNOWN	grounding_verdict	recommended_target_curie	action	confidence	notes	source_rows_in_culturemech	mediadive_compound_id	sssom_predicate_published	defect_origin
CoSO4・7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10026-24-1	NOT_APPLICABLE(unmapped)	CHEBI:91244	OK	high	The stated heptahydrate is an established form of cobalt(II) sulfate; known hydrates are monohydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	23	NA	NOT_FOUND	NONE
MnSO4·4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10101-68-5	NOT_APPLICABLE(unmapped)	CHEBI:86358	OK	high	The stated tetrahydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	22	NA	NOT_FOUND	NONE
SrCl2・6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hemihydrate; monohydrate; dihydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10025-70-4	NOT_APPLICABLE(unmapped)	CHEBI:36385	OK	high	The stated hexahydrate is an established form of strontium chloride; known hydrates are hemihydrate; monohydrate; dihydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	22	NA	NOT_FOUND	NONE
5% L-Cysteine·HCl·H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	22	NA	NOT_FOUND	NONE
CoCl2 . 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	7791-13-1	NOT_APPLICABLE(unmapped)	CHEBI:53503	OK	high	The stated hexahydrate is an established form of cobalt(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	22	NA	NOT_FOUND	NONE
manganese(II) chloride tetrahydrate	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13446-34-9	NOT_APPLICABLE(unmapped)	CHEBI:86368	OK	high	The stated tetrahydrate is an established form of manganese(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	22	NA	NOT_FOUND	NONE
aluminum chloride hydrate	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	hexahydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for aluminium chloride; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	22	NA	NOT_FOUND	CULTUREMECH
FeCl2 4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	dihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13478-10-9	NOT_APPLICABLE(unmapped)	CHEBI:86249	OK	high	The stated tetrahydrate is an established form of iron(II) chloride; known hydrates are dihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	21	NA	NOT_FOUND	NONE
Na2S・9H2O solutions	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	20	NA	NOT_FOUND	NONE
Fe SO4 x 7 H2O	mediadive.compound:1418	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7782-63-0	NOT_APPLICABLE(unmapped)	CHEBI:75836	OK	high	The stated heptahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. This is MediaDive compound 1418 and the fix or confirmation belongs upstream before MIM ingestion.	20	1418	NOT_FOUND	NONE
MnSO4·H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10034-96-5	NOT_APPLICABLE(unmapped)	CHEBI:86364	OK	high	The stated monohydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
Na2HPO4・2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	10028-24-7	NOT_APPLICABLE(unmapped)	kgmicrobe.compound:na2hpo4_x_2_h2o	OK	high	The stated dihydrate is an established form of disodium hydrogenphosphate; known hydrates are dihydrate; heptahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
CaSO4・2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	hemihydrate; dihydrate	TRUE	NO_CAS_PROVIDED	10101-41-4	NOT_APPLICABLE(unmapped)	CHEBI:32583	OK	high	The stated dihydrate is an established form of calcium sulfate; known hydrates are hemihydrate; dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
Na2B4O7・10H2O	NOT_IN_MIM	NA	0	UNKNOWN	decahydrate	decahydrate	TRUE	NO_CAS_PROVIDED	1303-96-4	NOT_APPLICABLE(unmapped)	CHEBI:131366	OK	high	The stated decahydrate is an established form of disodium tetraborate; known hydrates are decahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
Fe(NH4)2(SO4)2·6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate; heptahydrate reported but uncertain	TRUE	NO_CAS_PROVIDED	7783-85-9	NOT_APPLICABLE(unmapped)	CHEBI:76181	OK	high	The stated hexahydrate is an established form of ferrous ammonium sulfate; known hydrates are hexahydrate; heptahydrate reported but uncertain. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
CaCl2 . 2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10035-04-8	NOT_APPLICABLE(unmapped)	CHEBI:86158	OK	high	The stated dihydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
Iron (II) chloride tetrahydrate	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	dihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13478-10-9	NOT_APPLICABLE(unmapped)	CHEBI:86249	OK	high	The stated tetrahydrate is an established form of iron(II) chloride; known hydrates are dihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	19	NA	NOT_FOUND	NONE
Betaine x H2O	kgmicrobe.compound:betaine_x_h2o	glycine betaine	20	107-43-7	hydrate count omitted; monohydrate-like formula	monohydrate	UNSPECIFIED	MATCHES_ANHYDROUS_WRONGLY	UNKNOWN	CORRECT	kgmicrobe.compound:betaine_x_h2o	FIX_CAS	high	The local hydrate identifier and C5H11NO2.H2O consistently preserve a monohydrate reading, but CAS 107-43-7 and the parent label glycine betaine denote anhydrous betaine; no hydrate CAS is asserted without secure evidence. MIM source fields: mapping_status=MAPPED; mapping_quality=CLOSE_MATCH; molecular_formula=C5H11NO2.H2O.	18	212	skos:exactMatch	MIM
MgSO4 · 7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	10034-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31795	OK	high	The stated heptahydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	18	NA	NOT_FOUND	NONE
NaVO3 x H2O	CHEBI:132095	sodium metavanadate hydrate	16	20740-98-1	hydrate count omitted; conventional monohydrate reading	monohydrate	UNSPECIFIED	MATCHES_HYDRATE	20740-98-1	CORRECT	CHEBI:132095	OK	high	The conventional monohydrate reading is consistent with CHEBI:132095, CAS 20740-98-1, and H2O.Na.O3V. MIM source fields: mapping_status=MAPPED; mapping_quality=EXACT_MATCH; molecular_formula=H2O.Na.O3V.	18	182	skos:exactMatch	NONE
CaCl2 x H2O	mediadive.compound:356	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	The stated monohydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. This is MediaDive compound 356 and the fix or confirmation belongs upstream before MIM ingestion.	18	356	NOT_FOUND	NONE
CuSO4 . 5H2O	NOT_IN_MIM	NA	0	UNKNOWN	pentahydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7758-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31440	OK	high	The stated pentahydrate is an established form of copper(II) sulfate; known hydrates are monohydrate; trihydrate; pentahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	17	NA	NOT_FOUND	NONE
Na2HPO4 x H2O	mediadive.compound:607	NA	0	UNKNOWN	monohydrate	dihydrate; heptahydrate; dodecahydrate	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	No stable monohydrate of disodium hydrogenphosphate is established; known hydrate forms are dihydrate; heptahydrate; dodecahydrate. This is MediaDive compound 607 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	17	607	NOT_FOUND	MEDIADIVE_UPSTREAM
Na2B4O7·10H2O	NOT_IN_MIM	NA	0	UNKNOWN	decahydrate	decahydrate	TRUE	NO_CAS_PROVIDED	1303-96-4	NOT_APPLICABLE(unmapped)	CHEBI:131366	OK	high	The stated decahydrate is an established form of disodium tetraborate; known hydrates are decahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	17	NA	NOT_FOUND	NONE
Na2S . 9H2O	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	17	NA	NOT_FOUND	NONE
Sodium phosphate dibasic heptahydrate	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	7782-85-6	NOT_APPLICABLE(unmapped)	kgmicrobe.compound:na2hpo4_x_7_h2o	OK	high	The stated heptahydrate is an established form of disodium hydrogenphosphate; known hydrates are dihydrate; heptahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	17	NA	NOT_FOUND	NONE
MnSO4 . H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10034-96-5	NOT_APPLICABLE(unmapped)	CHEBI:86364	OK	high	The stated monohydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	16	NA	NOT_FOUND	NONE
Mg(SO4) x 7 H2O	mediadive.compound:2154	NA	0	UNKNOWN	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	10034-99-8	NOT_APPLICABLE(unmapped)	CHEBI:31795	OK	high	The stated heptahydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. This is MediaDive compound 2154 and the fix or confirmation belongs upstream before MIM ingestion.	16	2154	NOT_FOUND	NONE
NiCl2 . 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate	TRUE	NO_CAS_PROVIDED	7791-20-0	NOT_APPLICABLE(unmapped)	CHEBI:53542	OK	high	The stated hexahydrate is an established form of nickel(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	15	NA	NOT_FOUND	NONE
MnSO4·xH2O	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for manganese(II) sulfate; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	15	NA	NOT_FOUND	CULTUREMECH
(NH4)2Ni(SO4)2・6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	56110-30-6	NOT_APPLICABLE(unmapped)	CHEBI:86149	OK	high	The stated hexahydrate is an established form of ammonium nickel sulfate; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	15	NA	NOT_FOUND	NONE
dehydrated Wilkins-Chalgren medium	UNMAPPED_0373	NA	0	UNKNOWN	not applicable (not a hydrate label)	not applicable	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	Screening false positive: dehydrated describes a dry formulated medium, not a crystalline hydrate. MIM source fields: mapping_status=UNMAPPED; mapping_quality=NA; molecular_formula=NA.	15	2095	NOT_FOUND	NONE
CaCl2.2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10035-04-8	NOT_APPLICABLE(unmapped)	CHEBI:86158	OK	high	The stated dihydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	15	NA	NOT_FOUND	NONE
FeSO4.7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7782-63-0	NOT_APPLICABLE(unmapped)	CHEBI:75836	OK	high	The stated heptahydrate is an established form of iron(II) sulfate; known hydrates are monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	15	NA	NOT_FOUND	NONE
3% Na2S・9H2O solution	NOT_IN_MIM	NA	0	UNKNOWN	nonahydrate	dihydrate; pentahydrate; nonahydrate	TRUE	NO_CAS_PROVIDED	1313-84-4	NOT_APPLICABLE(unmapped)	CHEBI:76209	OK	high	The stated nonahydrate is an established form of sodium sulfide; known hydrates are dihydrate; pentahydrate; nonahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	15	NA	NOT_FOUND	NONE
SrCl2·6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hemihydrate; monohydrate; dihydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10025-70-4	NOT_APPLICABLE(unmapped)	CHEBI:36385	OK	high	The stated hexahydrate is an established form of strontium chloride; known hydrates are hemihydrate; monohydrate; dihydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	14	NA	NOT_FOUND	NONE
CaSO4·2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	hemihydrate; dihydrate	TRUE	NO_CAS_PROVIDED	10101-41-4	NOT_APPLICABLE(unmapped)	CHEBI:32583	OK	high	The stated dihydrate is an established form of calcium sulfate; known hydrates are hemihydrate; dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	14	NA	NOT_FOUND	NONE
Maltose monohydrate	mediadive.compound:1081	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	6363-53-7	NOT_APPLICABLE(unmapped)	cas:6363-53-7	OK	high	The stated monohydrate is an established form of maltose; known hydrates are monohydrate. This is MediaDive compound 1081 and the fix or confirmation belongs upstream before MIM ingestion.	14	1081	NOT_FOUND	NONE
MgCl2 . 6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	7791-18-6	NOT_APPLICABLE(unmapped)	CHEBI:86345	OK	high	The stated hexahydrate is an established form of magnesium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	14	NA	NOT_FOUND	NONE
MnCl2 . 4H2O	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	monohydrate; dihydrate; tetrahydrate	TRUE	NO_CAS_PROVIDED	13446-34-9	NOT_APPLICABLE(unmapped)	CHEBI:86368	OK	high	The stated tetrahydrate is an established form of manganese(II) chloride; known hydrates are monohydrate; dihydrate; tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	14	NA	NOT_FOUND	NONE
VOSO4・xH2O	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	monohydrate; dihydrate; trihydrate; pentahydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for vanadyl sulfate; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	14	NA	NOT_FOUND	CULTUREMECH
sodium tetraborate decahydrate	NOT_IN_MIM	NA	0	UNKNOWN	decahydrate	decahydrate	TRUE	NO_CAS_PROVIDED	1303-96-4	NOT_APPLICABLE(unmapped)	CHEBI:131366	OK	high	The stated decahydrate is an established form of disodium tetraborate; known hydrates are decahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	14	NA	NOT_FOUND	NONE
Na2HPO4·12H2O	NOT_IN_MIM	NA	0	UNKNOWN	dodecahydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	10039-32-4	NOT_APPLICABLE(unmapped)	kgmicrobe.compound:na2hpo4_x_12_h2o	OK	high	The stated dodecahydrate is an established form of disodium hydrogenphosphate; known hydrates are dihydrate; heptahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	13	NA	NOT_FOUND	NONE
NaS2O3 x 5 H2O	mediadive.compound:1018	NA	0	UNKNOWN	pentahydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	NaS2 is not the standard sodium sulfide stoichiometry; Na2S nonahydrate is likely intended. This is MediaDive compound 1018 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	13	1018	NOT_FOUND	MEDIADIVE_UPSTREAM
(NH4)2Ni(SO4)2·6H2O	NOT_IN_MIM	NA	0	UNKNOWN	hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	56110-30-6	NOT_APPLICABLE(unmapped)	CHEBI:86149	OK	high	The stated hexahydrate is an established form of ammonium nickel sulfate; known hydrates are hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	13	NA	NOT_FOUND	NONE
Na2WO2 x 2 H2O	mediadive.compound:1743	NA	0	UNKNOWN	dihydrate	none known for formula as written	FALSE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	high	The tungstate formula is missing oxygen or sodium; Na2WO4 dihydrate is likely intended. This is MediaDive compound 1743 and the fix or confirmation belongs upstream before MIM ingestion. Exact-label downstream presence was confirmed in kg-microbe transformed MediaDive exports; no downstream file was changed.	13	1743	NOT_FOUND	MEDIADIVE_UPSTREAM
L-Cysteine·HCl·H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate	TRUE	NO_CAS_PROVIDED	7048-04-6	NOT_APPLICABLE(unmapped)	CHEBI:91248	OK	high	The stated monohydrate is an established form of L-cysteine hydrochloride; known hydrates are monohydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	13	NA	NOT_FOUND	NONE
Ammonium heptamolybdate tetrahydrate	NOT_IN_MIM	NA	0	UNKNOWN	tetrahydrate	tetrahydrate	TRUE	NO_CAS_PROVIDED	12054-85-2	NOT_APPLICABLE(unmapped)	cas:12054-85-2	OK	high	The stated tetrahydrate is an established form of ammonium heptamolybdate; known hydrates are tetrahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	13	NA	NOT_FOUND	NONE
Sodium acetate・3H2O	NOT_IN_MIM	NA	0	UNKNOWN	trihydrate	trihydrate	TRUE	NO_CAS_PROVIDED	6131-90-4	NOT_APPLICABLE(unmapped)	CHEBI:32138	OK	high	The stated trihydrate is an established form of sodium acetate; known hydrates are trihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	12	NA	NOT_FOUND	NONE
Fe2(SO4)3・xH2O	NOT_IN_MIM	NA	0	UNKNOWN	hydrate (unspecified stoichiometry)	trihydrate; hexahydrate; heptahydrate; nonahydrate; decahydrate; dodecahydrate	UNSPECIFIED	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	NEEDS_SOURCE	low	The label does not establish a unique water stoichiometry for iron(III) sulfate; the original recipe or registry record is required. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	12	NA	NOT_FOUND	CULTUREMECH
Na2HPO4・12H2O	NOT_IN_MIM	NA	0	UNKNOWN	dodecahydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	NO_CAS_PROVIDED	10039-32-4	NOT_APPLICABLE(unmapped)	kgmicrobe.compound:na2hpo4_x_12_h2o	OK	high	The stated dodecahydrate is an established form of disodium hydrogenphosphate; known hydrates are dihydrate; heptahydrate; dodecahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	12	NA	NOT_FOUND	NONE
MgSO4 x H2O	mediadive.compound:1640	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	none exists	MINT	high	The stated monohydrate is an established form of magnesium sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate. This is MediaDive compound 1640 and the fix or confirmation belongs upstream before MIM ingestion.	12	1640	NOT_FOUND	MIM
ZnSO4.7H2O	NOT_IN_MIM	NA	0	UNKNOWN	heptahydrate	monohydrate; tetrahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	7446-20-0	NOT_APPLICABLE(unmapped)	CHEBI:32312	OK	high	The stated heptahydrate is an established form of zinc sulfate; known hydrates are monohydrate; tetrahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	12	NA	NOT_FOUND	NONE
CuCl2 . 2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate (reported); dihydrate	TRUE	NO_CAS_PROVIDED	10125-13-0	NOT_APPLICABLE(unmapped)	CHEBI:86318	OK	high	The stated dihydrate is an established form of copper(II) chloride; known hydrates are monohydrate (reported); dihydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	12	NA	NOT_FOUND	NONE
CaCl2 · 2H2O	NOT_IN_MIM	NA	0	UNKNOWN	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	NO_CAS_PROVIDED	10035-04-8	NOT_APPLICABLE(unmapped)	CHEBI:86158	OK	high	The stated dihydrate is an established form of calcium chloride; known hydrates are monohydrate; dihydrate; tetrahydrate; hexahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	11	NA	NOT_FOUND	NONE
dehydrated RCM medium	UNMAPPED_0372	NA	0	UNKNOWN	not applicable (not a hydrate label)	not applicable	TRUE	NO_CAS_PROVIDED	UNKNOWN	NOT_APPLICABLE(unmapped)	UNKNOWN	OK	high	Screening false positive: dehydrated describes a dry formulated medium, not a crystalline hydrate. MIM source fields: mapping_status=UNMAPPED; mapping_quality=NA; molecular_formula=NA.	11	2126	NOT_FOUND	NONE
MnSO4.H2O	NOT_IN_MIM	NA	0	UNKNOWN	monohydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	NO_CAS_PROVIDED	10034-96-5	NOT_APPLICABLE(unmapped)	CHEBI:86364	OK	high	The stated monohydrate is an established form of manganese(II) sulfate; known hydrates are monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate. No exact MIM preferred-term row exists; this CultureMech-only label should be checked against its source recipe before ingestion.	11	NA	NOT_FOUND	NONE
